4:38	ふくざわゆきち	配信遅延仕込んでないかこれ？
4:38	たべっちかにっち	草
4:38	ふぉるす	バリバリｗ
4:38	まつまえ	バリバリは草
4:38	もこもこありえす	最強
4:38	薄情	縦社会大福
4:38	TSU CCHI	お前先輩でもあれだろ！
4:39	はくさん	舞元も後輩だぞ
4:39	ぷりっつPretz	zepp
4:39	矢瀬	草
4:39	Gリスナー	バリバリｗ
4:40	ねこさん1号	草
4:41	クリ	草
4:41	桃野パピコ	かっけぇw
4:41	DKYM	剣持先輩やぞ！
4:42	うにあ	急にえらくなったな
4:42	Yuuki	草
4:42	まきな	１年目って時点でだいぶよ
4:43	ガリレオ	鷹宮ァ！
4:43	はんぺん	あほ宮
4:43	さちくろ	
4:43	洛水佑馬	草
4:44	N.R. Happin	草
4:46	かおう_____ta	草
4:49	もんぬサマー	こないだリオンさんだったじゃんｗ
4:49	かわ3	草
4:49	yuyu sasa	呼び方変わってて草
4:49	黛ヒロユキ	前からやろw
4:50	長岡	しぃしぃももうすぐ35万か ＞登録者
4:52	なだきょう	草
4:52	あかるる	元から呼んでねえか？ｗ
4:53	プリッツトッポ	変わるやんｗ
4:53	夜行	リオンさん→鷹宮
4:54	ちなまる	草
4:54	うにあ	ｗｗ
4:55	ぐだのすけ	草
4:55	nimu	草
4:56	みなと	草
4:56	とおのマン	リオンさんじゃなくなったんねぇ
4:57	kbf kbf	バチバチは元からだろ
4:58	カービィ	草
4:58	B. D.	おいおいｗ
4:58	うにあ	後輩だからねｗ
4:59	めたる王	草
4:59	ふくざわゆきち	草
5:00	うどんこねっと	リオンさんから鷹宮に変わった
5:00	長岡	草
5:00	かそく	草
5:01	ないむん	草
5:01	だし濃厚きつねうどん	草
5:01	しゃけねこ	草
5:01	DKYM	草
5:01	accelアクセル	草
5:01	青いザリガニ	草
5:01	ぐりあお。	もとからやんでたやん
5:01	もこもこありえす	対等じゃん
5:02	ケンフー	今度遊ぶけどね
5:02	陽介	草
5:03	エーピー	草
5:03	たべっちかにっち	すーぐマウント取り合うｗ
5:03	黎明卿新しきボンドルド	昔までリオンさんって呼んでたよな…？
5:03	ダルマン	あそこバチバチなんだ
5:05	ラクタムβ	草
5:06	アキパン	草
5:07	ねこさん1号	リオンさんだったのにw
5:07	REO	草
5:07	うにあ	どっちもいうんだよなあｗ
5:07	めんとす	バチバチなんだ
5:11	ディード	あほ宮だなんだ言ってるじゃん
5:12	カリオロス亜種	険悪で草
5:12	やねうら	草
5:13	けんばく	人間になってもろて
5:13	アキパン	バチバチだったのかｗ
5:13	神戸しゃれ	リオンさんだったのはそういう…
5:13	Bell	リオンさんは敬意があったんだな
5:14	yuyu sasa	犬は草
5:14	ぎるがめっしゅ	草
5:14	かわ3	何言ってんだ
5:14	カービィ	犬？
5:14	zale	ギスギスしてきたな・・・
5:14	kbf kbf	ヒエラルキーを作る犬
5:15	シャムねこ	草
5:15	かおう_____ta	ギャル犬
5:16	?!	どっちも下だよ
5:16	エーピー	草
5:16	星ノ猫恵瑠花	犬
5:18	とみさたん	仲良しやな
5:19	もこもこありえす	マウントの取り合い
5:19	アッシマー	犬
5:21	taketo RONA	縄張り争いじゃねーか
5:22	松井、	草
5:22	うにあ	犬かよｗｗ
5:24	WRyou_Italy	犬の上下関係w
5:24	ととろろろ	GALS
5:24	ねこさん1号	犬w
5:24	みなと	草
5:26	しゃけねこ	草
5:28	炭酸ポカリ	全滅したー
5:28	からすめ	でも犬っ
5:28	ずんずん	リオンさん呼びから変えたのね
5:28	うりす	わんわんお
5:28	Shanty Boat	ゆるゆる会話過ぎる
5:29	かずき	草
5:29	長岡	犬ｗ
5:29	Rei_ S2	草
5:30	出縄誠也	犬は舐められたら負けだからな
5:31	zale	犬と猫なんだよなぁ
5:32	アズキ8	前枠終わったか
5:32	かわ3	小型犬の喧嘩
5:33	ワタル	夜見はママだもん
5:33	もんぬサマー	争いは同じレベルあーだこーだ
5:33	かおう_____ta	ママだもんな
5:34	ヘィヴンダックス	いっつもバチバチしながら遊んでたのか
5:34	うずまきなると	gals
5:34	rosugi	解釈一致
5:34	あかるる	猫だろうが！
5:35	産毛	滅茶苦茶だよｗ
5:35	うにあ	低いなーｗ
5:37	館橋水奈都	知能が
5:38	DKYM	戦いは同じレベルでしか
5:38	からすめ	低み
5:40	薄情	犬犬の仲
5:42	ガリレオ	夜見はサイコパス
5:42	長岡	低次元の争い
